# Sanskrit syllabaries

ha-2	hh a r yTag fvs1 space hh a r yTag fvs1 lvs space hh a l yTag fvs1 space hh a l yTag fvs1 lvs	A Hr A R Ir - A Hr A R Ir Lv - A Hr A L Ir - A Hr A L Ir Lv
ha-3	hh e space hh e e space hh o space hh o o	A Hr E - A Hr E E - A Hr Ob - A Hr Ob Ob

kṣa-1	kTag shTag a fvs1 space kTag shTag a fvs1 lvs space kTag shTag i space kTag shTag i lvs space kTag shTag ue space kTag shTag ue lvs	K2 Sx Aa - K2 Sx Aa Lv - K2 Sx I3 - K2 Sx I3 Lv - K2 Sx U - K2 Sx U Lv
kṣa-2	kTag shTag a r yTag fvs1 space kTag shTag a r yTag fvs1 lvs space kTag shTag a l yTag fvs1 space kTag shTag a l yTag fvs1 lvs	K2 Sx A R Ir - K2 Sx A R Ir Lv - K2 Sx A L Ir - K2 Sx A L Ir Lv
kṣa-3	kTag shTag e space kTag shTag e e space kTag shTag o space kTag shTag o o	K2 Sx E - K2 Sx E E - K2 Sx Ob - K2 Sx Ob Ob

# Tibetan syllabaries

a-1	kTag a space khTag a space gTag a space g fvs3 gTag a	K2 Aa - K Aa - G Aa - Hp G Aa
a-2	chTag a fvs1 space c a fvs1 space z a fvs1 space ny a fvs1	C Aa - J Aa - Ch Aa - Ny Aa
a-3	d a fvs1 space t a fvs1 space tTag a fvs1 space n a fvs1	Dp Aa - Tp Aa - Dv Aa - N Aa
a-4	pTag fvs1 a space p fvs1 a space b a space m a fvs1	Bh Aa - Ph Aa - B Aa - M Aa
a-5	j a fvs1 space chTag a fvs1 space jTag fvs1 a fvs1 space w a fvs1	Cp Aa - C Aa - Zc Aa - Wb Aa
a-6	zhTag a fvs1 space zTag a fvs1 space qTag a fvs1 space y a fvs1	Rz Aa - Zz Aa - Q Aa - I Aa
a-7	r a fvs1 space l a fvs1 space sh a fvs1 space s a fvs1 space hh a fvs1 space a fvs1 lvs	R Aa - L Aa - Sh Aa - S Aa - A Hr Aa - A Lv
